"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Taj Gibson","Cha","F","39.6","20","10.8","12.6","21.9","12","0.583","44","0.432","2","0.5","0.446","0.468","2.4","3.4","0.6","0.3","0.5","0.7","5.8","3","6.4","6.3","99.7","102.2"
"","Pelle Larsson","Mia","G","24","32","12.9","13.4","10.9","33","0.667","51","0.588","47","0.319","0.536","0.564","4","1.5","0.9","0.5","0.1","0.4","5.4","4.9","6.4","5.4","115.5","103.3"
"","Aaron Holiday","Hou","G","28.4","36","11.4","15","12","19","0.895","41","0.512","83","0.373","0.544","0.574","4.2","0.9","1.2","0.4","0.1","0.5","5.2","5.4","6.4","5.8","119.3","106.5"
"","Mason Jones","Sac","G","26.6","5","5.6","21.2","7.6","2","0.5","6","0.833","6","0.167","0.542","0.543","2.8","1.6","1.8","0","0","0.2","4.4","4.6","6.2","14.3","130.5","114.9"
"","Adem Bona","Phi","F","21.9","35","10.9","11.3","29","44","0.636","56","0.696","0","0","0.696","0.703","3","2.9","0.3","0.2","0.7","0.7","5.9","3.3","6.2","5.1","121.5","100.3"
"","Jett Howard","Orl","G","21.4","44","10.9","19.4","10.7","18","0.833","54","0.5","130","0.323","0.489","0.508","4.4","1.2","0.6","0.2","0.2","0.5","5.6","5","6.2","5.4","100.8","106.6"
"","Pat Spencer","Gol","G","28.6","20","7.7","21.1","16.6","13","0.692","48","0.5","12","0.167","0.45","0.479","3.2","1.5","1.6","0.5","0.1","0.6","4.7","4.7","6.2","10.2","104.8","106.8"
"","Jeff Dowtin Jr.","Phi","G","27.7","23","11.1","15.7","3.6","17","0.706","57","0.456","23","0.261","0.438","0.469","3.6","1.2","1.4","0.3","0.2","0.1","4.7","5","6.2","6.6","111.1","115.3"
"","Cam Reddish","Lal","F-G","25.4","31","18.1","8.6","12.2","26","0.615","41","0.585","45","0.289","0.506","0.529","3.3","2","0.7","1","0.3","0.4","5.3","4.1","6.1","3.7","109","109.5"
"","Reed Sheppard","Hou","G","20.6","36","11.8","17.2","13.2","9","0.889","58","0.362","93","0.28","0.397","0.413","3.6","1.4","1.1","0.6","0.4","0.6","5","4.7","6.1","6","92.4","105.9"
"","Delon Wright","Mil","G","32.8","26","15.6","11.1","14.5","16","0.563","33","0.303","49","0.245","0.341","0.365","2.5","1.8","1.8","0.9","0.3","0.5","4.3","4.3","6.1","5.1","94.4","112.3"
"","Drew Eubanks","Lac","F-C","28","2","10.1","8.6","0","0","0","4","0.75","0","0","0.75","0.75","3","3","0","0","0","0","6","3","6","0","159.5","109.1"
"","Alondes Williams","Det","G","25.6","1","3.7","22.9","0","0","0","1","1","1","1","1.25","1.25","5","0","1","0","0","0","5","6","6","0","0","0"
"","Jae Crowder","Sac","F","34.6","7","13.1","11","18.7","6","0.833","5","0.6","12","0.25","0.441","0.509","2.9","2.4","0.6","0.4","0","0.6","5.3","3.4","5.9","4.9","105.3","107.4"
"","Antonio Reeves","Nor","G","22.2","20","9.3","20.1","5.9","8","0.875","38","0.526","42","0.31","0.494","0.515","4.3","0.9","0.7","0.3","0","0.3","5.2","5","5.9","6","108.3","122"
"","Trey Jemison","Nor","C","25.2","16","10.4","13","23.7","21","0.381","32","0.469","0","0","0.469","0.461","2.4","2.8","0.6","0.4","0.4","0.6","5.1","3","5.8","6.1","99.2","105.4"
"","Jaylon Tyson","Cle","G-F","22.2","32","9.1","15.1","13.5","15","0.733","49","0.49","34","0.324","0.488","0.513","2.9","2.1","0.8","0.2","0.1","0.4","5","3.7","5.8","7.5","112.3","103.9"
"","Blake Wesley","San","G","21.9","31","9.3","17.8","25.4","23","0.739","61","0.557","21","0.19","0.488","0.526","3.1","0.7","1.9","0.5","0.1","0.9","3.9","5.1","5.8","6.9","102.6","114"
"","Kobe Brown","Lac","F","25.1","20","8","14.9","11.3","4","0.75","31","0.613","16","0.25","0.532","0.543","2.7","2.3","0.7","0.2","0.2","0.3","4.9","3.4","5.6","8.2","117.3","103.8"
"","Jeff Green","Hou","F","38.4","14","10.4","13.3","9.2","9","0.778","15","0.867","24","0.333","0.641","0.663","4.1","1.3","0.2","0.2","0.1","0.3","5.4","4.3","5.6","3.9","127.6","105.5"
"","Tristan Vukcevic","Was","F","21.9","10","6.1","26.2","11.7","9","0.667","14","0.643","16","0.25","0.5","0.53","3.6","1.4","0.5","0","0.1","0.4","5","4.1","5.5","8.9","106.3","113.4"
"","Isaac Jones","Sac","F","24.6","25","8.7","15.9","17.1","26","0.538","54","0.685","4","0.25","0.664","0.655","3.6","1.5","0.3","0.1","0.3","0.5","5.2","4","5.5","5.4","117.2","107.6"
"","Jericho Sims","Nyk","C","26.3","39","10.8","7.5","31.2","13","0.615","46","0.609","0","0","0.609","0.619","1.6","3.3","0.6","0.2","0.3","0.5","4.9","2.2","5.5","5.4","121.4","104.9"
"","Jevon Carter","Chi","G","29.4","24","7.2","20.7","9.7","8","0.75","22","0.545","52","0.385","0.568","0.58","3.8","0.9","0.9","0.3","0","0.3","4.7","4.6","5.5","8.1","112.9","116.2"
"","Drew Peterson","Bos","F","25.2","14","9","11.4","16.5","7","0.857","6","0.667","19","0.421","0.64","0.677","2.7","1.9","0.8","0.1","0.1","0.4","4.6","3.5","5.4","7.1","130.8","104.1"
"","Jalen Pickett","Den","G","25.3","22","9.4","13","12.6","1","1","27","0.481","28","0.393","0.536","0.541","2.7","1","1.7","0.2","0.1","0.4","3.7","4.4","5.4","7.1","118.8","113.7"
"","Gary Harris","Orl","G","30.4","24","16","10.8","11.9","8","0.5","18","0.556","63","0.349","0.531","0.532","3.8","1.2","0.5","0.6","0.3","0.5","5","4.2","5.4","3.3","103","110.6"
"","Tristan Thompson","Cle","C-F","33.9","25","8","13.6","18.5","22","0.227","41","0.463","3","0","0.432","0.401","1.7","3","0.7","0","0.3","0.4","4.7","2.4","5.4","7.6","95.7","99.4"
"","Dariq Whitehead","Bro","G-F","20.5","8","7","23","10.7","3","0.333","4","0.25","21","0.524","0.7","0.684","4.5","0.6","0.1","0.4","0.1","0.4","5.1","4.6","5.3","3.7","111.9","116.7"
"","Dillon Jones","Okc","F","23.3","30","9.1","14.4","15.2","17","0.588","33","0.515","39","0.179","0.382","0.409","2.2","2.1","0.9","0.2","0.1","0.4","4.3","3.1","5.2","7.1","97.3","98.7"
"","Branden Carlson","Okc","C","25.7","15","6.4","16.9","5.3","2","1","7","0.571","28","0.429","0.629","0.641","3.1","1.7","0.4","0.1","0.4","0.1","4.7","3.5","5.1","8","130.5","96.3"
"","Trey Jemison","Lal","C","25.2","5","8.3","12.6","29.7","4","0.25","7","0.429","0","0","0.429","0.4","1.4","3.4","0.2","0.2","0.8","0.6","4.8","1.6","5","4.7","76.9","85.2"
"","Bol Bol","Pho","C-F","25.2","14","6","23.3","17.8","12","0.667","16","0.75","16","0.25","0.563","0.59","3.1","1.5","0.3","0.1","0.1","0.5","4.6","3.4","4.9","7.4","105.9","116.6"
"","AJ Johnson","Mil","G","20.2","7","6.3","23.8","17.2","2","0.5","14","0.357","5","0.6","0.5","0.503","2.9","1","1","0.1","0","0.6","3.9","3.9","4.9","9.1","95","116.5"
"","Craig Porter","Cle","G","24.9","30","8.3","13.4","21.5","10","0.7","39","0.641","19","0.579","0.716","0.721","3","0.8","1","0.2","0.3","0.5","3.8","4","4.9","6.5","124.3","112.4"
"","Reece Beekman","Bro","G","23.3","18","11.8","13","16.9","9","0.556","31","0.419","18","0.222","0.388","0.406","2.4","0.8","1.7","0.7","0.1","0.6","3.2","4.1","4.8","5","94","115.9"
"","Luka Garza","Min","C","26.1","20","5.2","27.9","9.8","12","0.75","37","0.595","18","0.278","0.536","0.564","3.4","1.3","0.1","0.1","0.1","0.3","4.7","3.5","4.8","5.9","110.1","100.8"
"","Damion Lee","Pho","G-F","32.3","13","6","29.4","10.8","13","1","21","0.476","20","0.15","0.354","0.449","3.2","0.9","0.6","0.3","0","0.4","4.2","3.8","4.8","8","93.7","115.3"
"","Moses Brown","Ind","C","25.3","9","5.1","26.8","22.8","5","0.6","20","0.65","0","0","0.65","0.653","3.2","1.4","0","0.2","0.1","0.7","4.7","3.2","4.7","0","98.5","102.4"
"","Orlando Robinson","Sac","C","24.6","9","6.3","18","18.8","7","0.571","12","0.5","5","0.2","0.441","0.473","2.1","1.6","1","0.3","0.1","0.4","3.7","3.1","4.7","9.5","101.6","104.4"
"","Christian Koloko","Lal","C","24.6","28","8.5","9.6","14.2","6","0.833","40","0.675","2","0","0.643","0.661","2.1","2.1","0.4","0.3","0.3","0.3","4.3","2.5","4.7","5.7","136.4","103.2"
"","Brandon Williams","Dal","G","25.2","17","7.1","19.8","19.9","13","0.769","25","0.44","15","0.333","0.463","0.514","2.8","0.8","1.1","0.2","0","0.6","3.5","3.9","4.6","7.6","102.4","114"
"","Tyler Smith","Mil","F","20.3","15","5","24.3","14.9","4","0.5","14","0.643","20","0.4","0.618","0.615","2.9","1.3","0.3","0.1","0.2","0.4","4.2","3.2","4.5","8.3","106.5","103.1"
"","Vlatko Cancar","Den","F","27.8","4","8.6","11","22.2","0","0","5","0.6","2","0.5","0.643","0.643","2.3","2","0","0","0.3","0.5","4.3","2.3","4.3","0","106.4","107.6"
"","Caleb Houstan","Orl","G","22.1","36","11.8","11.5","4.7","11","0.909","14","0.357","88","0.307","0.446","0.473","2.8","1","0.4","0.2","0.1","0.1","3.8","3.2","4.2","3.5","105.4","108.2"
"","Kai Jones","Lac","C-F","24.1","27","7.6","10.6","22.1","12","0.75","33","0.758","2","0","0.714","0.732","2.2","1.7","0.4","0.2","0.4","0.4","3.9","2.6","4.2","6","128.3","101.6"
"","Dominick Barlow","Atl","F","21.7","14","7.1","15.4","0","8","0.5","25","0.44","9","0.333","0.456","0.466","2.5","1.4","0.2","0.2","0.4","0","3.9","2.7","4.1","5","103.9","111"
"","Josh Minott","Min","F","22.2","31","7","16.1","9.3","11","0.818","39","0.641","29","0.241","0.522","0.549","2.6","1.1","0.4","0.4","0.3","0.2","3.6","3","4.1","6","112.1","100.1"
"","Hunter Tyson","Den","F","24.7","36","7.7","13.4","15.5","23","0.696","23","0.478","42","0.333","0.492","0.532","2.2","1.6","0.4","0.1","0.1","0.3","3.8","2.6","4.1","5.8","105.1","106"
"","Rayan Rupert","Por","G-F","20.7","35","7.9","15.6","17","18","0.722","43","0.512","35","0.286","0.474","0.506","2.5","1.1","0.5","0.2","0.1","0.5","3.6","2.9","4.1","5.6","101.9","115.3"
"","Ariel Hukporti","Nyk","C","22.8","19","7.9","10.4","35.2","11","0.545","20","0.7","0","0","0.7","0.684","1.8","1.8","0.4","0","0.6","0.6","3.6","2.2","4.1","5.5","105","103.8"
"","Doug McDermott","Sac","F","33.1","31","8.4","15.1","5.5","5","0.6","13","0.385","72","0.431","0.606","0.608","3.4","0.5","0.1","0.1","0","0.2","4","3.5","4.1","2.6","114.8","110.9"
"","Alex Len","Sac","C","31.6","36","7.2","9.6","21.1","13","0.538","35","0.6","6","0.167","0.549","0.557","1.4","1.8","0.8","0.2","0.5","0.3","3.2","2.3","4.1","7","122.6","103.4"
"","Pete Nance","Phi","F","25","7","9.8","10.2","0","2","0.5","3","0.333","12","0.333","0.467","0.472","2.1","1.4","0.4","0.1","0","0","3.6","2.6","4","4.3","112","104.9"
"","Dwight Powell","Dal","F-C","33.6","33","7.6","6.5","27.7","30","0.667","17","0.765","1","1","0.806","0.785","1.5","1.8","0.7","0.4","0.5","0.2","3.3","2.2","4","6.5","154.8","100.6"
"","Landry Shamet","Nyk","G","27.9","19","10.4","13.3","11.8","4","0.25","21","0.571","31","0.29","0.49","0.484","2.7","0.8","0.4","0.4","0.1","0.4","3.5","3.2","3.9","3.7","96.3","112.6"
"","JT Thor","Cle","F","22.5","9","4.7","24.7","28.1","8","0.875","9","0.667","6","0.5","0.7","0.756","3.1","0.7","0.1","0.2","0.3","0.7","3.8","3.2","3.9","5.1","113.3","101.6"
"","E.J. Liddell","Chi","F","24.1","6","5.1","15","19.2","2","1","2","1","6","0.5","0.813","0.845","2.5","0.8","0.5","0.2","0","0.3","3.3","3","3.8","7.8","138.4","92.8"
"","Adama Sanogo","Chi","F","23","4","5.4","15.6","12.5","0","0","7","0.571","0","0","0.571","0.571","2","1.5","0.3","0","0","0.3","3.5","2.3","3.8","7.2","125.7","120.6"
"","Johnny Davis","Was","G","22.9","34","7.1","15.8","8.2","15","0.6","49","0.51","29","0.241","0.455","0.473","2.4","1.1","0.3","0.4","0.2","0.2","3.5","2.7","3.8","5.2","98.4","115"
"","Chris Duarte","Chi","G","27.7","17","4.4","17.2","3.7","8","0.75","11","0.545","15","0.4","0.577","0.61","2.1","1.2","0.5","0","0","0.1","3.3","2.6","3.8","9.8","134.9","111.1"
"","Keshad Johnson","Mia","F","23.6","10","5.7","13.7","19.9","6","0.167","8","0.75","4","0.25","0.625","0.546","1.6","1.7","0.3","0.1","0.4","0.3","3.3","1.9","3.6","6.6","96.6","103.6"
"","Kessler Edwards","Dal","F","24.5","22","8.8","8","11.3","3","1","14","0.5","17","0.235","0.419","0.449","1.3","1.7","0.6","0.3","0.3","0.2","3","1.9","3.6","5","103.7","105.4"
"","A.J. Lawson","Tor","G","24.6","4","3.8","26.2","0","3","0.333","3","0.667","5","0.4","0.625","0.59","2.8","0.8","0","0","0","0","3.5","2.8","3.5","0","0","0"
"","David Duke Jr.","San","G","25.3","2","6","24.4","16.1","2","0.5","4","0.25","1","0","0.2","0.255","1.5","1","1","0","0","0.5","2.5","2.5","3.5","7.6","63.5","110.4"
"","Lester Quinones","Phi","G","24.2","4","4.3","32.3","32.2","1","1","5","0.8","3","0","0.5","0.533","2.3","1","0.3","0","0","1","3.3","2.5","3.5","8.2","84.1","124.1"
"","Collin Gillespie","Pho","G","25.6","6","4","16.9","0","5","0.8","5","0.6","2","0.5","0.643","0.707","2.2","0.8","0.5","0","0.2","0","3","2.7","3.5","9.6","160.4","109"
"","MarJon Beauchamp","Mil","F","24.3","26","4.7","23.4","21.5","12","0.75","26","0.423","21","0.333","0.457","0.497","2","1.2","0.3","0.1","0","0.5","3.2","2.3","3.5","7.6","90.1","105.9"
"","Jordan McLaughlin","Sac","G","28.8","28","6.8","13.9","19.9","16","0.688","18","0.333","26","0.385","0.477","0.519","1.9","0.8","0.9","0.4","0","0.4","2.6","2.8","3.5","6.5","104.9","111.3"
"","Cory Joseph","Orl","G","33.5","30","7.5","14.1","15.4","4","0.5","19","0.368","41","0.341","0.467","0.47","1.9","0.8","0.8","0.4","0.1","0.4","2.7","2.7","3.5","5.7","97.6","106"
"","Markieff Morris","Dal","F","35.4","7","5.8","25.1","8.3","0","0","9","0.333","13","0.154","0.273","0.273","1.7","1.1","0.6","0.1","0.1","0.3","2.9","2.3","3.4","7.2","64.1","111.6"
"","Duop Reath","Por","C","28.6","25","5.3","18.5","7.4","10","0.8","15","0.533","35","0.314","0.49","0.524","2.3","0.9","0.2","0","0.1","0.2","3.2","2.5","3.4","5.6","112.5","111"
"","Armel Traore","Lal","F","22","9","7.4","16.6","13.6","7","0.286","12","0.5","7","0","0.316","0.317","1.6","1.7","0.1","0.4","0.2","0.3","3.2","1.7","3.3","3.5","65","104.3"
"","TyTy Washington Jr.","Pho","G","23.2","4","6.9","11.2","14.3","0","0","3","0.333","3","0.667","0.667","0.667","2","0.3","1","0.5","0","0.3","2.3","3","3.3","4.9","128.4","122"
"","Johnny Furphy","Ind","G","20.2","32","7.3","12.6","14","9","1","23","0.435","32","0.344","0.482","0.526","1.9","1","0.3","0.3","0.2","0.3","3","2.2","3.3","4.5","105.8","109.4"
"","Nate Williams","Hou","G","26","6","3.5","19.7","10","0","0","5","1","4","0.5","0.889","0.889","2.7","0.5","0.2","0.3","0.2","0.2","3.2","2.8","3.3","7.4","0","0"
"","Leonard Miller","Min","F","21.2","6","2.6","35.5","19.2","6","1","5","0.4","3","0","0.25","0.47","1.7","1.5","0","0.2","0","0.3","3.2","1.7","3.2","0","0","0"
"","Luke Travers","Cle","F","23.4","6","6.9","10.2","21.2","2","1","4","0.75","3","0","0.429","0.508","1.3","1","0.8","0.2","0.2","0.3","2.3","2.2","3.2","5.9","108.9","109.1"
"","Tyler Kolek","Nyk","G","23.9","28","5.2","17.4","15.9","6","1","19","0.368","28","0.393","0.5","0.534","1.9","0.5","0.8","0.3","0","0.3","2.4","2.7","3.2","7","109.3","109.2"
"","Patrick Baldwin Jr.","Was","F","22.2","22","4.6","16.5","13.1","4","0.5","12","0.5","21","0.524","0.682","0.676","2.1","1","0.1","0.1","0.1","0.2","3.1","2.2","3.2","5.2","115.4","117.9"
"","Enrique Freeman","Ind","F","24.5","19","7.3","11.1","16.5","13","0.538","19","0.579","6","0.167","0.5","0.521","1.7","1","0.4","0.1","0.1","0.3","2.7","2.1","3.1","4.8","106.3","107.6"
"","Jordan Walsh","Bos","G","20.9","35","7.9","10.9","13.8","10","0.5","17","0.529","39","0.282","0.455","0.464","1.6","1.1","0.3","0.3","0.2","0.3","2.7","1.9","3.1","4.1","98.8","108.6"
"","Maxwell Lewis","Bro","F","22.5","1","1.1","40.1","0","0","0","0","0","1","1","1.5","1.5","3","0","0","0","0","0","3","3","3","0","0","0"
"","Jalen Hood-Schifino","Lal","G","21.6","2","7.1","9","41","2","1","1","1","0","0","1","1.064","2","0.5","0.5","0","0.5","0.5","2.5","2.5","3","4.5","151.5","100.2"
"","Alex Reese","Okc","F-G","25.7","1","1.9","22.4","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","0","0"
"","Mac McClung","Orl","G","26.1","1","4.9","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","2","3","0","0","114.9"
"","Jaden Springer","Bos","G","22.4","26","5.4","14.6","10.4","21","0.714","15","0.4","19","0.316","0.441","0.52","1.7","0.9","0.4","0.5","0","0.2","2.7","2.1","3","6.3","113.3","98"
"","Zeke Nnaji","Den","F-C","24.1","31","6.6","13.8","9.5","7","0.429","37","0.622","20","0.15","0.482","0.483","1.9","1","0.1","0.1","0.4","0.2","2.9","2","3","3.5","97.5","108"
"","Baylor Scheierman","Bos","G","24.4","9","6","14.3","0","2","1","5","0.4","12","0.083","0.206","0.252","1","1.4","0.4","0.2","0","0","2.4","1.4","2.9","5.5","77.6","100.2"
"","Cam Christie","Lac","G","19.5","5","5.7","17.9","17.8","2","0.5","3","0.333","6","0.167","0.278","0.304","1.2","1.2","0.4","0.4","0","0.4","2.4","1.6","2.8","5.8","67.7","103.1"
"","Chris Livingston","Mil","F","21.3","12","4.8","15.8","27.3","6","0.667","9","0.556","4","0","0.385","0.448","1.2","1.6","0.1","0.3","0","0.4","2.8","1.3","2.8","4.8","87.2","103.8"
"","Alex Ducas","Okc","G","24.2","12","4.7","15","5","0","0","5","0.2","14","0.429","0.526","0.526","1.7","1","0.1","0.1","0","0.1","2.7","1.8","2.8","4.7","109.6","103.7"
"","Pacome Dadiet","Nyk","F","19.5","13","6.4","11.4","4.7","2","1","6","0.167","14","0.357","0.425","0.455","1.5","1","0.4","0.1","0.2","0.1","2.5","1.8","2.8","5.3","103.4","111.7"
"","Anthony Gill","Was","F","32.3","36","5.6","12.4","12.4","28","0.607","28","0.571","14","0.357","0.56","0.589","1.8","0.8","0.2","0.2","0","0.2","2.6","2","2.8","4.7","114.4","115.3"
"","Daishen Nix","Min","G","23","3","4.4","19.4","76.6","2","0.5","0","0","1","0","0","0.266","0.3","1.3","1","0","0","1.3","1.7","1.3","2.7","6.6","44.1","103.3"
"","Xavier Tillman","Bos","F","26.1","26","7.3","11.4","18.3","2","0.5","18","0.333","22","0.182","0.3","0.306","1","1.4","0.3","0.3","0.2","0.3","2.3","1.2","2.6","4.1","70.3","105.6"
"","Jared Rhoden","Cha","G","25.5","4","2.9","32.5","11.1","0","0","6","0.333","2","0","0.25","0.25","1","1","0.5","0.3","0","0.3","2","1.5","2.5","10.9","0","0"
"","D.J. Carton","Tor","G","24.5","4","8.4","14.4","35","1","1","4","0.25","3","0","0.143","0.202","0.8","1","0.8","0.5","0","1","1.8","1.5","2.5","4.1","42.5","117.6"
"","Yuki Kawamura","Mem","G","23.8","19","3.3","18.3","15.2","6","0.667","6","0.667","16","0.25","0.455","0.487","1.3","0.4","0.7","0.1","0","0.2","1.6","2","2.4","8.7","0","0"
"","Terrence Shannon Jr.","Min","G-F","24.5","12","4.4","17.2","14.3","0","0","13","0.538","5","0.4","0.556","0.556","1.7","0.2","0.5","0.2","0.1","0.3","1.8","2.2","2.3","5","105.7","115.9"
"","Colin Castleton","Mem","C","24.7","10","4.6","13.7","8.8","11","0.909","6","0.333","4","0","0.2","0.472","1.4","0.9","0","0.1","0.1","0.1","2.3","1.4","2.3","0","110.9","103.1"
"","Colby Jones","Sac","G","22.7","24","5.4","10.8","21.2","0","0","16","0.438","10","0.4","0.5","0.5","1.1","1","0.3","0.3","0.3","0.3","2","1.4","2.3","5.1","97.2","107.6"
"","Joe Ingles","Min","F-G","37.4","12","4.9","10.5","35.7","0","0","4","0.5","5","0.4","0.556","0.556","0.8","0.3","1.1","0.1","0","0.4","1.2","1.9","2.3","5.2","110.4","103.9"
"","PJ Hall","Den","C","23","12","2.9","15.6","8.8","4","0.75","6","0.667","4","0","0.4","0.468","0.9","1.1","0.2","0","0.1","0.1","2","1.1","2.2","8","0","0"
"","Jack McVeigh","Hou","G-F","28.6","6","3.6","23.1","8.3","0","0","3","0.333","8","0.25","0.364","0.364","1.3","0.7","0.2","0","0.2","0.2","2","1.5","2.2","6.3","0","0"
"","Sidy Cissoko","San","G","20.9","17","3.2","17.7","10","6","0.167","11","0.545","7","0.429","0.583","0.533","1.3","0.6","0.4","0.1","0","0.1","1.9","1.6","2.2","8.5","0","0"
"","Ulrich Chomche","Tor","C","19.1","6","3.4","12.3","38.3","2","0.5","3","0.667","0","0","0.667","0.644","0.8","1","0.3","0","0","0.3","1.8","1.2","2.2","7.3","0","0"
"","Jazian Gortman","Dal","G","21.9","16","3.5","22.4","17.7","4","0.5","12","0.417","11","0.364","0.478","0.485","1.5","0.3","0.4","0.1","0.1","0.3","1.8","1.9","2.2","6.5","0","0"
"","Quincy Olivari","Lal","G","23.7","2","5.2","25.7","16.7","0","0","0","0","5","0.2","0.3","0.3","1.5","0","0.5","0","0","0.5","1.5","2","2","0","60.9","123.6"
"","Riley Minix","San","F","24.4","1","6.8","6.3","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","2","0","0","115.4"
"","Reece Beekman","Gol","G","23.3","2","2.1","10.2","0","0","0","1","1","0","0","1","1","1","0.5","0.5","0.5","0","0","1.5","1.5","2","12","0","0"
"","Bryce McGowens","Por","G","22.3","8","2.6","26","28.9","6","0.833","5","0.8","2","0","0.571","0.674","1.6","0.1","0.1","0.1","0","0.4","1.8","1.8","1.9","3.9","0","0"
"","Matt Ryan","Nyk","F","27.8","17","3.6","21.6","9.9","2","1","11","0.364","16","0.313","0.426","0.448","1.5","0.4","0.1","0.1","0","0.2","1.9","1.5","1.9","4.3","0","0"
"","PJ Dozier","Min","G-F","28.3","9","3.9","8.3","24.5","6","0.167","0","0","3","0.667","1","0.621","0.8","0.6","0.6","0.1","0","0.1","1.3","1.3","1.9","6.8","0","0"
"","Garrett Temple","Tor","G-F","38.8","17","3.9","13.2","20.6","4","1","8","0.25","7","0.143","0.233","0.328","0.6","0.6","0.6","0.4","0.1","0.2","1.2","1.3","1.9","6.2","0","0"
"","Isaiah Crawford","Sac","F","23.3","4","3.5","11.7","0","2","0.5","2","0.5","1","0","0.333","0.387","0.8","1","0","0","0","0","1.8","0.8","1.8","0","0","0"
"","Liam Robbins","Mil","C","25.6","13","4.4","14.1","42.2","10","0.5","6","0.333","2","0","0.25","0.363","0.7","0.9","0.2","0.2","0.2","0.5","1.6","0.8","1.8","4.6","78.5","100.4"
"","Bronny James","Lal","G","20.3","16","4","22.1","17.1","7","0.714","14","0.214","10","0.1","0.188","0.258","0.9","0.4","0.4","0.3","0.1","0.3","1.3","1.3","1.8","5.2","61.6","106.9"
"","Adam Flagler","Okc","G","25.2","18","4.4","25.6","2.1","0","0","9","0.333","38","0.158","0.255","0.255","1.3","0.4","0","0.3","0.1","0.1","1.8","1.3","1.8","0","59.6","102.6"
"","JD Davison","Bos","G","22.3","5","4.7","21.9","53.5","2","0.5","2","0.5","3","0.333","0.5","0.51","1.2","0.4","0.2","0.2","0","1.2","1.6","1.4","1.8","3.9","50.4","111"
"","James Johnson","Ind","F","38","10","3.2","18.2","30.8","1","0","6","0.667","3","0","0.444","0.424","0.8","0.5","0.4","0","0.2","0.4","1.3","1.2","1.7","6.8","0","0"
"","Josh Christopher","Mia","G","23.2","8","3.5","20.4","35.7","4","0.5","6","0.333","1","0","0.286","0.342","0.8","0.4","0.5","0","0.1","0.5","1.1","1.3","1.6","6.2","0","0"
"","RayJ Dennis","Ind","G","23.9","6","1.9","22.3","36.8","2","1","0","0","3","0.333","0.5","0.644","0.8","0.5","0.2","0.3","0","0.3","1.3","1","1.5","9.1","0","0"
"","Cole Swider","Det","F","25.8","2","6.6","16.2","0","0","0","0","0","5","0","0","0","0","1","0.5","0","0","0","1","0.5","1.5","0","15","111.3"
"","Stanley Umude","Mil","G","25.8","19","3.2","17.3","9","4","0.5","9","0.222","11","0.182","0.25","0.276","0.6","0.7","0.1","0.2","0.1","0.1","1.4","0.7","1.5","4.3","0","0"
"","Trey Alexander","Den","G","21.8","16","4.3","12.7","4.9","2","1","10","0.3","9","0.222","0.316","0.352","0.9","0.3","0.4","0.1","0.1","0.1","1.1","1.3","1.5","4.4","87.7","112.6"
"","Jalen Bridges","Pho","F","23.7","5","5","15.6","48.7","2","0.5","0","0","4","0.25","0.375","0.41","0.8","0.6","0","0","0","0.8","1.4","0.8","1.4","0","42.8","123.4"
"","Jacob Toppin","Nyk","F","24.8","16","3","10.7","16.7","0","0","8","0.375","2","0","0.3","0.3","0.4","0.7","0.3","0.1","0","0.1","1.1","0.6","1.3","5.8","0","0"
"","Maxwell Lewis","Lal","F","22.5","7","4.2","12","25","0","0","6","0.333","0","0","0.333","0.333","0.6","0.3","0.3","0.1","0","0.3","0.9","0.9","1.1","3.6","77.1","118"
"","Spencer Jones","Den","F","23.7","8","2.5","17.1","12.5","0","0","2","0.5","5","0.2","0.357","0.357","0.6","0.5","0","0.3","0","0.1","1.1","0.6","1.1","0","0","0"
"","Patty Mills","Lac","G","36.5","1","7","18.5","0","0","0","0","0","3","0","0","0","0","0","1","1","0","0","0","1","1","0","23.5","111.6"
"","Tristen Newton","Min","G","23.8","1","1.3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Bobi Klintman","Det","F","21.9","3","2.5","11.2","0","0","0","1","0","1","0","0","0","0","0.7","0.3","0","0","0","0.7","0.3","1","0","0","0"
"","Harrison Ingram","San","F","22.2","2","5.3","8.1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","108.3"
"","Malevy Leons","Okc","F","25.4","6","3.5","9.6","31.1","4","0.5","1","0","1","0","0","0.266","0.3","0.5","0.2","0","0","0.2","0.8","0.5","1","3.6","0","0"
"","Cui Yongxi","Bro","F","21.7","5","2.1","33.7","0","2","0.5","4","0.25","3","0","0.143","0.19","0.6","0.4","0","0","0","0","1","0.6","1","0","0","0"
"","Jaylen Martin","Bro","G","21","3","1.6","18.8","0","0","0","1","0","1","1","0.75","0.75","1","0","0","0","0","0","1","1","1","0","0","0"
